Ticket_ID,Open_Date,Close_Date,Category,Subcategory,Severity,Priority_Score,Department,Requesting_User,Affected_Node,Affected_Component,Affected_Subcomponent,Description,Resolution,Downtime_Hours,Root_Cause,Escalated,Escalation_Level,SLA_Met,Vendor_Ticket,Cost_Parts,Cost_Labor,Cost_Total,Follow_Up_Required,Related_Tickets,Response_Time_Min,Resolution_Time_Hr,Response_SLA_Met,Resolution_SLA_Met,Priority,Response_Min,Resolution_Hr
TKT-00001,2025-08-12 11:44,2025-08-13 23:00,Hardware_Failure,GPU_ECC_RMA,P1,817,Earth Sciences,user099,hpc-gpu-012,GPU,GPU Slot 3,"Automated monitoring alert from DCGM (Data Center GPU Manager) detected persistent ECC uncorrectable memory errors on hpc-gpu-012 GPU slot 3 (Serial: GPU-A100-5537229). The nvidia-smi error counters report 27 uncorrectable ECC errors within the last 30-day monitoring window, exceeding the 10-error threshold defined in the NexaGen Enhanced Support Service Agreement (Section 4.2(i)). XID error code 48 (double-bit ECC error in HBM3 memory) logged 6 times in the past 72 hours. Node has been automatically drained from the Slurm scheduler (scontrol update NodeName=hpc-gpu-012 State=DRAIN Reason=""GPU_ECC_FAIL""). All running jobs on the node were checkpointed and requeued to available nodes. The affected GPU module has been powered down via ipmi to prevent further error propagation.","NexaGen field engineer dispatched under Service Agreement NSA-2026-WU-0847. NOTE: Per Section 4.2(i) of the Enhanced Support agreement, GPU ECC uncorrectable errors are categorized as consumable component wear and are EXCLUDED from the Enhanced Support coverage tier. Replacement billed at Standard Parts Replacement rate: H100 SXM5 module $15,500 + labor $2,200 = $17,700 per event. GPU module GPU-A100-5537229 in slot 3 replaced with new unit (Serial: GPU-A100-9306135). Post-replacement validation: nvidia-smi health check PASS, cuda-memcheck extended test PASS (0 errors over 4 hours), HPL single-node validation 48.7 TFLOPS (within spec). Node returned to Slurm scheduler: scontrol update NodeName=hpc-gpu-012 State=RESUME.",38.2,gpu_hbm3_memory_ecc_failure,Yes,L2 Field Engineer,No,NXG-SR-417152,15500,2200,17700,Monitor replacement GPU for 30 days,,36,2.6,No,Yes,P4,783,63.8
TKT-00010,2025-09-18 17:56,2025-09-19 19:00,Hardware_Failure,GPU_ECC_RMA,P1,868,Mathematics,user005,hpc-gpu-058,GPU,GPU Slot 5,"Automated monitoring alert from DCGM (Data Center GPU Manager) detected persistent ECC uncorrectable memory errors on hpc-gpu-058 GPU slot 5 (Serial: GPU-A100-8818014). The nvidia-smi error counters report 38 uncorrectable ECC errors within the last 30-day monitoring window, exceeding the 10-error threshold defined in the NexaGen Enhanced Support Service Agreement (Section 4.2(i)). XID error code 48 (double-bit ECC error in HBM3 memory) logged 10 times in the past 72 hours. Node has been automatically drained from the Slurm scheduler (scontrol update NodeName=hpc-gpu-058 State=DRAIN Reason=""GPU_ECC_FAIL""). All running jobs on the node were checkpointed and requeued to available nodes. The affected GPU module has been powered down via ipmi to prevent further error propagation.","NexaGen field engineer dispatched under Service Agreement NSA-2026-WU-0847. NOTE: Per Section 4.2(i) of the Enhanced Support agreement, GPU ECC uncorrectable errors are categorized as consumable component wear and are EXCLUDED from the Enhanced Support coverage tier. Replacement billed at Standard Parts Replacement rate: H100 SXM5 module $15,500 + labor $2,200 = $17,700 per event. GPU module GPU-A100-8818014 in slot 5 replaced with new unit (Serial: GPU-A100-7712584). Post-replacement validation: nvidia-smi health check PASS, cuda-memcheck extended test PASS (0 errors over 4 hours), HPL single-node validation 47.8 TFLOPS (within spec). Node returned to Slurm scheduler: scontrol update NodeName=hpc-gpu-058 State=RESUME.",31.9,gpu_hbm3_memory_ecc_failure,Yes,L2 Field Engineer,No,NXG-SR-949735,15500,2200,17700,Monitor replacement GPU for 30 days,,40,3.6,No,Yes,P4,1040,123.4
TKT-00020,2025-09-12 09:15,2025-09-15 16:30,Storage,Performance_Degradation,P3,500,Medical Research,user116,storage-002,Lustre_OST,"OST-07, OST-14","Multiple users in Biology and Medical Research departments reporting degraded checkpoint write performance during peak utilization (10:00-16:00). Storage monitoring dashboard shows OST-07 at 86.9% capacity and OST-14 at 83.1% capacity, compared to cluster average of 68.3%. IOR benchmark confirms write throughput to affected OSTs degraded by 33% compared to balanced OSTs. Root cause: large Biology genomics datasets with default stripe_count=1 concentrated on these two OSTs due to MDT hash distribution.","Performed manual OST rebalancing using lfs_migrate for 4.2 TB of data from OST-07 and 3.8 TB from OST-14. Updated default stripe settings: stripe_count increased from 4 to 8 for /lustre/scratch, stripe_size changed from 1MB to 4MB for directories exceeding 1TB. Implemented automated OST balance monitoring script (cron every 6 hours) with Prometheus alerting at 15% variance threshold. Biology department users advised to use lfs setstripe -c 8 for new large datasets.",0.0,ost_data_distribution_imbalance,No,L1,Yes,,0,800,800,Monitor OST balance weekly,,122,16.0,Yes,Yes,P4,1263,127.1
TKT-00029,2025-03-10 00:00,2025-03-28 00:00,Performance,Thermal_Throttle,P4,176,Earth Sciences,user119,hpc-gpu-035,OS,Thermal Throttle,Performance incident reported via web portal. Automated monitoring triggered alert for thermal throttle on hpc-gpu-059. Impact assessment: department-wide impact. Initial diagnosis indicates environmental factor. Prometheus alert: network_errors.,Issue resolved via software patch. Verification: benchmark validation completed.,6.3,user_error,No,L1,Yes,,0,0,0,Vendor review,,394,36.0,Yes,Yes,P4,1034,30.4
TKT-00039,2025-05-31 00:00,2025-06-17 00:00,Storage,Performance_Degradation,P4,164,Computer Science,user047,hpc-gpu-032,NVMe,Performance Degradation,"User user033 from Biology submitted P4 incident for performance degradation. Affected system: hpc-gpu-078, component: NVMe. Job ID 7758677 produced incorrect results after 1 hours of execution. Error log analysis shows segfault. Preliminary investigation: consulting with vendor.",Issue resolved via firmware update. Verification: node health check passed.,0.0,planned_change,No,L1,Yes,,0,0,0,Schedule follow-up,,467,16.0,Yes,Yes,P4,1216,138.0
TKT-00048,2025-10-10 00:00,2025-10-14 00:00,Software_Issue,Driver_Issue,P2,666,Computer Science,user014,hpc-cpu-016,Account,Driver Issue,Software Issue incident reported via email. Automated monitoring confirmed driver issue on hpc-gpu-074. Impact assessment: department-wide impact. Initial diagnosis indicates software misconfiguration. Prometheus alert: memory_pressure.,Issue resolved via user training. Verification: service restored to normal operation.,0.0,hardware_wear,Yes,L2,No,,0,0,0,,,65,8.4,Yes,No,P4,843,152.2
TKT-00058,2025-02-18 00:00,2025-02-19 00:00,Software_Issue,OS_Crash,P2,681,Chemistry,user097,storage-001,PSU,OS Crash,Software Issue incident reported via email. Automated monitoring triggered alert for os crash on hpc-gpu-007. Impact assessment: single user affected. Initial diagnosis indicates capacity limitation. Prometheus alert: memory_pressure.,Issue resolved via permission adjustment. Verification: monitoring alerts cleared.,0.0,environmental,No,L3,Yes,,0,0,0,Vendor review,,91,5.7,Yes,Yes,P4,1107,46.2
TKT-00067,2025-07-09 00:00,2025-07-10 00:00,Storage,Backup_Failure,P3,447,Chemistry,user009,hpc-cpu-010,Network_HCA,Backup Failure,"User user038 from Chemistry submitted P3 incident for backup failure. Affected system: hpc-cpu-027, component: Network_HCA. Job ID 5882237 timed out after 10 hours of execution. Error log analysis shows CUDA error. Preliminary investigation: checking node health metrics.",Issue resolved via configuration update. Verification: benchmark validation completed.,0.0,capacity_limit,No,L1,No,,0,0,0,Schedule follow-up,,230,19.6,Yes,No,P4,521,163.6
TKT-00077,2025-10-15 00:00,2025-10-24 00:00,Storage,File_Recovery,P3,384,Earth Sciences,user068,hpc-cpu-017,Scheduler,File Recovery,"User user009 from Medical Research submitted P3 incident for file recovery. Affected system: hpc-gpu-015, component: Scheduler. Job ID 2305068 hung after 21 hours of execution. Error log analysis shows CUDA error. Preliminary investigation: checking node health metrics.",Issue resolved via user training. Verification: benchmark validation completed.,0.0,config_drift,No,L1,No,,0,0,0,,,179,17.4,Yes,No,P4,1230,60.2
TKT-00087,2025-02-17 00:00,2025-02-23 00:00,Storage,Backup_Failure,P3,446,Computer Science,user014,hpc-gpu-022,OS,Backup Failure,"User user004 from Computer Science submitted P3 incident for backup failure. Affected system: hpc-gpu-004, component: OS. Job ID 2558569 failed after 51 hours of execution. Error log analysis shows segfault. Preliminary investigation: checking node health metrics.",Issue resolved via software patch. Verification: node health check passed.,0.0,hardware_wear,No,L1,No,,0,0,0,Monitor 30 days,,268,7.7,No,Yes,P4,485,163.9
